"CountryCode","CountryName","ContinentCode"
"PRK","Democratic People's Republic of Korea","SEAR"
"AZE","Azerbaijan","EUR"
"ERI","Eritrea","AFR"
"EGY","Egypt","EMR"
"GHA","Ghana","AFR"
"OMN","Oman","EMR"
"NGA","Nigeria","AFR"
"TKM","Turkmenistan","EUR"
"DZA","Algeria","AFR"
"SEN","Senegal","AFR"
"CIV","Côte d’Ivoire","AFR"
"GMB","Gambia","AFR"
"MAR","Morocco","EMR"
"GNB","Guinea-Bissau","AFR"
"MLI","Mali","AFR"
"MYS","Malaysia","WPR"
"NER","Niger","AFR"
"TGO","Togo","AFR"
"STP","Sao Tome and Principe","AFR"
"CMR","Cameroon","AFR"
"UZB","Uzbekistan","EUR"
"ZWE","Zimbabwe","AFR"
"ETH","Ethiopia","AFR"
"SWZ","Eswatini","AFR"
"GTM","Guatemala","AMR"
"IRQ","Iraq","EMR"
"ARM","Armenia","EUR"
"CHN","China","WPR"
"SLV","El Salvador","AMR"
"BLZ","Belize","AMR"
"BEN","Benin","AFR"
"LBR","Liberia","AFR"
"BRB","Barbados","AMR"
"MRT","Mauritania","AFR"
"QAT","Qatar","EMR"
"TUN","Tunisia","EMR"
"COG","Congo","AFR"
"PAN","Panama","AMR"
"SAU","Saudi Arabia","EMR"
"VNM","Viet Nam","WPR"
"GUY","Guyana","AMR"
"KWT","Kuwait","EMR"
"LKA","Sri Lanka","SEAR"
"MDG","Madagascar","AFR"
"SLE","Sierra Leone","AFR"
"UGA","Uganda","AFR"
"ECU","Ecuador","AMR"
"TZA","United Republic of Tanzania","AFR"
"BOL","Bolivia (Plurinational State of)","AMR"
"GBR","United Kingdom of Great Britain and Northern Ireland","EUR"
"BHS","Bahamas","AMR"
"CAN","Canada","AMR"
"COL","Colombia","AMR"
"CRI","Costa Rica","AMR"
"UKR","Ukraine","EUR"
"BRA","Brazil","AMR"
"HTI","Haiti","AMR"
"MEX","Mexico","AMR"
"NZL","New Zealand","WPR"
"ISR","Israel","EUR"
"COD","Democratic Republic of the Congo","AFR"
"AUS","Australia","WPR"
"NOR","Norway","EUR"
"RWA","Rwanda","AFR"
"MOZ","Mozambique","AFR"
"BFA","Burkina Faso","AFR"
"TCD","Chad","AFR"
"IRN","Iran (Islamic Republic of)","EMR"
"RUS","Russian Federation","EUR"
"JAM","Jamaica","AMR"
"WSM","Samoa","WPR"
"BGD","Bangladesh","SEAR"
"BLR","Belarus","EUR"
"ZMB","Zambia","AFR"
"DOM","Dominican Republic","AMR"
"NAM","Namibia","AFR"
"BHR","Bahrain","EMR"
"JOR","Jordan","EMR"
"DNK","Denmark","EUR"
"CUB","Cuba","AMR"
"FIN","Finland","EUR"
"MWI","Malawi","AFR"
"BDI","Burundi","AFR"
"PRY","Paraguay","AMR"
"SWE","Sweden","EUR"
"MMR","Myanmar","SEAR"
"CPV","Cabo Verde","AFR"
"TON","Tonga","WPR"
"USA","United States of America","AMR"
"IRL","Ireland","EUR"
"PLW","Palau","WPR"
"BRN","Brunei Darussalam","WPR"
"VUT","Vanuatu","WPR"
"SGP","Singapore","WPR"
"URY","Uruguay","AMR"
"BWA","Botswana","AFR"
"COK","Cook Islands","WPR"
"KEN","Kenya","AFR"
"COM","Comoros","AFR"
"NLD","Netherlands","EUR"
"PAK","Pakistan","EMR"
"JPN","Japan","WPR"
"ARG","Argentina","AMR"
"KHM","Cambodia","WPR"
"DEU","Germany","EUR"
"POL","Poland","EUR"
"SLB","Solomon Islands","WPR"
"KOR","Republic of Korea","WPR"
"LUX","Luxembourg","EUR"
"SYC","Seychelles","AFR"
"SVN","Slovenia","EUR"
"YEM","Yemen","EMR"
"MUS","Mauritius","AFR"
"ROU","Romania","EUR"
"ITA","Italy","EUR"
"BEL","Belgium","EUR"
"ZAF","South Africa","AFR"
"TUV","Tuvalu","WPR"
"PER","Peru","AMR"
"THA","Thailand","SEAR"
"KGZ","Kyrgyzstan","EUR"
"ALB","Albania","EUR"
"MLT","Malta","EUR"
"TUR","Türkiye","EUR"
"PHL","Philippines","WPR"
"AFG","Afghanistan","EMR"
"KAZ","Kazakhstan","EUR"
"LTU","Lithuania","EUR"
"AUT","Austria","EUR"
"FJI","Fiji","WPR"
"EST","Estonia","EUR"
"PRT","Portugal","EUR"
"CHE","Switzerland","EUR"
"PNG","Papua New Guinea","WPR"
"IND","India","SEAR"
"KIR","Kiribati","WPR"
"LVA","Latvia","EUR"
"LSO","Lesotho","AFR"
"MDV","Maldives","SEAR"
"CHL","Chile","AMR"
"CYP","Cyprus","EUR"
"ESP","Spain","EUR"
"NPL","Nepal","SEAR"
"CZE","Czechia","EUR"
"BIH","Bosnia and Herzegovina","EUR"
"HUN","Hungary","EUR"
"SVK","Slovakia","EUR"
"LBN","Lebanon","EMR"
"AND","Andorra","EUR"
"GRC","Greece","EUR"
"MNG","Mongolia","WPR"
"MHL","Marshall Islands","WPR"
"LAO","Lao People's Democratic Republic","WPR"
"MNE","Montenegro","EUR"
"MDA","Republic of Moldova","EUR"
"IDN","Indonesia","SEAR"
"GEO","Georgia","EUR"
"FRA","France","EUR"
"TLS","Timor-Leste","SEAR"
"HRV","Croatia","EUR"
"BGR","Bulgaria","EUR"
"SRB","Serbia","EUR"
"NRU","Nauru","WPR"
"ISL","Iceland","EUR"
"ARE","United Arab Emirates","EMR"
"VEN","Venezuela (Bolivarian Republic of)","AMR"
"NIC","Nicaragua","AMR"
"TTO","Trinidad and Tobago","AMR"
"LCA","Saint Lucia","AMR"
"SSD","South Sudan","AFR"
"GAB","Gabon","AFR"
"BTN","Bhutan","SEAR"
"MKD","The former Yugoslav Republic of Macedonia","EUR"
"ATG","Antigua and Barbuda","AMR"
"LBY","Libya","EMR"
"HND","Honduras","AMR"
"SUR","Suriname","AMR"
"SYR","Syrian Arab Republic","EMR"
"VCT","Saint Vincent and the Grenadines","AMR"
"AGO","Angola","AFR"
"GRD","Grenada","AMR"
"DJI","Djibouti","EMR"
"SDN","Sudan","EMR"
"GNQ","Equatorial Guinea","AFR"
"GIN","Guinea","AFR"
"TJK","Tajikistan","EUR"
"SOM","Somalia","EMR"
"CAF","Central African Republic","AFR"
"FSM","Micronesia (Federated States of)","WPR"
"NIU","Niue","WPR"
"DMA","Dominica","AMR"
"PSE","Occupied Palestinian territory","EMR"
"MCO","Monaco","EUR"
"KNA","Saint Kitts and Nevis","AMR"
"SMR","San Marino","EUR"
