CountryNameFX,CountryNameWHO
antigua,Antigua and Barbuda
antigua & barbuda,Antigua and Barbuda
azerbaidjan,Azerbaijan
bolivia,Bolivia (Plurinational State of)
bosnia,Bosnia and Herzegovina
brunei,Brunei Darussalam
burma,Myanmar
cambodia (khmer),Cambodia
cape verde,Cabo Verde
central african rep.,Central African Republic
"congo, dem. rep",Congo
cote d'ivoire,Côte d’Ivoire
czech,Czechia
czech republic,Czechia
czech. republic,Czechia
dem. rep. of congo,Congo
democratic republic of congo,Congo
germany frg,Germany
guinea bissau,Guinea-Bissau
iran,Iran (Islamic Republic of)
korea,Republic of Korea
laos,Lao People's Democratic Republic
lithuanian,Lithuania
macedonia fyrom,The former Yugoslav Republic of Macedonia
maltese,Malta
marshalls islands,Marshall Islands
micronesia,Micronesia (Federated States of)
moldova,Republic of Moldova
nambia,Namibia
netherland,Netherlands
rep. of n macedonia,The former Yugoslav Republic of Macedonia
republic of palau,Palau
russia,Russian Federation
sao tome & principe,Sao Tome and Principe
slovak,Slovakia
slovak republic,Slovakia
somali,Somalia
south sudanese,South Sudan
st lucia,Saint Lucia
st. lucia,Saint Lucia
swaziland,Eswatini
syria,Syrian Arab Republic
tanzania,United Republic of Tanzania
timor,Timor-Leste
trinidad & tobago,Trinidad and Tobago
turkey,Türkiye
united kingdom,United Kingdom of Great Britain and Northern Ireland
venezuela,Venezuela (Bolivarian Republic of)
vietnam,Viet Nam
western samoa,Samoa
